model,accuracy,precision,recall,f1,roc_auc
Majority Baseline,0.681836400072873,0.0,0.0,0.0,
Logistic Regression,0.6546912005829841,0.47508194528062075,0.8133302794319743,0.5998057514463072,0.7703520410372667
Random Forest,0.6227728183640008,0.4453509540826647,0.7564131928538709,0.5606247082290031,0.724989702691124
